21319338:亚丽莎,2;小说家,1;理智,1;病人,1;狩猎者,1;
6816357:」,14;「,14;结尾,6;星,5;显得,4;
1306005:大白鲨,4;鳄鱼,3;年代,3;电视,2;80,2;
3445565:俄罗斯,39;光头党,24;88,10;◎,10;纳粹,8;
1994906:愤青,4;可爱,4;一位,3;小可爱,2;推荐,2;
1306708:胜利,32;曾志伟,22;李丽珍,21;谭家明,18;怀念,16;
1798358:`,36;犹太,19;军官,18;犹太人,15;纳粹,10;
2368587:男人,137;女人,113;爱情,84;爱,72;•,57;
1999695:弟弟,8;堂兄,7;爱,7;哥哥,6;max,4;
6876057:女人,64;颜雯,55;狗子,43;花,43;黄圣依,30;
1848944:(,163;),160;for,140;guitarist,75;操,67;
1423040:麦尔斯,23;爱,14;小镇,14;怀特,9;属于,8;
1308304:母亲,217;女儿,118;日本,101;晓恩,71;香港,69;
1303333:墨西哥,60;青春,57;胡里奥,53;生活,47;眩晕,44;
1418190:007,888;邦德,618;bond,250;赌场,226;皇家,198;
1308669:we,3;人生,2;不到,1;拔腿,1;尤其,1;
1903904:爱,21;象,13;笑,9;人生,8;sos,8;
3431735:亨利,64;银行,47;生活,45;梦想,44;爱情,33;
1298014:卫斯理,13;徐小明,8;霸王,8;卸甲,8;穴,8;
3524495:党,9;健康,9;巧克力,6;和谐,5;动画,5;
1296520:武士,36;公主,32;高丽,17;蒙古,16;郑宇成,15;
7152897:同事,9;凉,9;菇,9;男友,5;啦,4;
3238076:第一部,46;处刑,46;it,31;do,30;续集,29;
5323980:末日,13;地球,5;费拉拉,5;艺术,5;世界,4;
2337948:老师,15;少年,13;男孩,5;母亲,4;中文,3;
2297275:狗,786;生活,579;马利,486;marley,400;狗狗,391;
4901351:流浪汉,62;－,52;血腥,40;暴力,29;老头,19;
1294479:历史,59;艾丽西,20;•,19;真相,18;家庭,16;
2272208:垃圾,29;猪脚,26;贩卖机,25;自动,20;幻想,17;
1305487:弗兰克,491;父亲,425;frank,383;母亲,239;生活,229;
1923474:中国,634;何克,566;黄石,369;战争,252;日本,200;
1306678:老大,40;大哥,32;三十年,21;黑帮,19;弗莱迪,13;
1475558:友川,16;纹身,15;大叔,13;爱,12;爷爷,8;
1299582:恭,204;绿洲,197;洙,182;忠,181;爱情,146;
2003732:la,12;’,8;diddle,6;s,6;she,5;
1298688:世界,145;游戏,84;真实,62;ash,48;avalon,42;
3073079:_,2680;tucker,96;malcolm,87;it,87;that,72;
3570008:不堪,2;机会,2;第二次,2;或则,2;一幕,2;
3011373:喜剧,32;乔治,31;生活,29;笑,25;部分,17;
4819057:基,7;索恩,4;类型,4;控,4;追赶,3;
3608982:女人,40;张国荣,36;我家,33;哥哥,32;美好,32;
1302201:美国,76;战争,72;北方,51;南方,43;将军,41;
2156069:生活,92;古斯,74;门,57;赛,55;女儿,50;
1300334:熊,235;小熊,233;大熊,173;猎人,159;动物,123;
5150874:爱情,13;哭,10;爱,10;j,9;印度,9;
1299624:曼桢,525;世钧,398;半生,219;爱,213;张爱玲,188;
2132736:英国,31;colin,25;．,23;恶搞,18;笑,16;
3369765:式,22;鲜花,18;黑桐,9;小说,7;有点儿,5;
1296269:拥,3;美,3;人生,3;乐事,3;r,2;
5155038:罗杰,185;妻子,70;猎头,53;柯勒斯,45;警察,39;
1302567:波兰,41;哥萨克,27;贵族,24;联邦,15;茨,9;
1295001:`,7;steven,7;sarah,6;muse,6;movie,6;
1293471:琼斯,65;1990,37;best,36;最佳,36;jones,34;
2268359:吸血鬼,3356;爱,1666;爱情,1298;爱德华,983;贝拉,925;
6753166:杀手,137;神经病,132;变态,132;billy,120;剧本,96;
4099242:罗斯,62;rose,61;杀,47;mary,38;肉丝,36;
1474724:达达,6;鼓手,6;音乐,5;乐队,4;工作,4;
1931316:美式,3;国外,3;动物,3;商人,3;不足,3;
5151892:凯奇,157;大叔,76;女儿,59;银行,50;威尔,38;
1297389:一线,2;依然,2;虽说,2;催,1;桑德拉,1;
3003192:僵尸,118;脱衣舞娘,40;级,32;舞娘,31;表演,18;
1305541:缘分,360;爱情,247;爱,237;相信,226;．,195;
1304583:夏天,22;复仇,17;热气腾腾,16;女主角,12;爱,12;
3630615:生命,10;动物,7;主要,6;海绵,6;扁,5;
1939328:爱情,36;．,29;男人,10;意大利,9;一点点,8;
1754671:自由,23;上帝,15;天空,12;土豆,12;女人,8;
5951292:爱,48;泰国,36;爱情,36;朋友,35;宥,22;
1307620:弟弟,9;哥哥,9;兄弟,8;喜剧,7;马特,6;
1996416:．,28;看见,25;─,24;诺拉,15;由,12;
1295887:爱,9;爱情,8;女孩,6;女儿,4;困惑,4;
1308120:暗,103;战,100;2,74;郑,65;郑伊健,50;
10751153:曾经,2;不好,2;得不到,2;经历,2;美好,2;
1428236:———,20;美丽,15;公主,9;唉,8;电视剧,7;
3249776:～,6;哦,2;依然,2;忽略,2;相差,1;
4010975:朋克,3;hanover,3;_,2;v,2;翻译,1;
1293767:诺曼,172;生活,142;金色池塘,133;爱,121;女儿,118;
1419294:张丰喜,27;努力,11;哥,11;五,11;汪洋,11;
10807880:宋方,29;侯孝贤,14;母亲,14;记忆,13;家庭,11;
10543738:中心校,2;黄土路,1;包括,1;教学点,1;穿着,1;
1438734:波兰,116;sue,111;nikki,97;女人,94;林奇,94;
1781992:爱,47;爱情,39;韩国,25;亨,21;俊,21;
2127789:海明威,151;盖尔霍,85;恩,60;战争,42;西班牙,32;
1308444:波兰,5;悲伤,4;女儿,3;作家,3;二战,2;
3268216:女人,1177;男人,950;爱情,892;爱,607;桃花运,451;
1291859:托马斯,1075;生命,687;女人,617;爱,545;轻,535;
2310144:漫画,253;龙珠,252;七龙珠,245;悟空,235;龟,163;
2359703:塔,6;朋友,3;suso,3;简单,3;一座,2;
4132521:宗教,13;邪教,13;信,12;不信,12;韩国,11;
1482102:咒怨,23;恐怖,13;椰子,9;鬼,8;冠,7;
7058583:lost,6;paradise,6;疑问,3;(,3;),3;
1297280:公主,47;王子,36;童话,34;巨人,22;爷爷,19;
5150448:吸血鬼,4;扯,3;高中生,2;游戏,2;典型,1;
6080847:猪,13;生,12;黑杰克,8;医生,7;妹,7;
5990243:etw,38;ein,31;ä,25;die,25;ö,20;
3240783:美好,12;男人,9;爱,7;生活,7;感动,6;
4832341:摄影师,5;名字,4;充满,3;赫本,3;纪录片,3;
1302062:喜,34;郎,23;善良,16;日本,15;战争,14;
1303036:马其顿,284;暴雨,238;亚历山大,213;女孩,212;至,179;
1295460:性,56;伍迪,55;艾伦,46;伍迪艾,23;伦,23;
11525794:elle,2;往,1;注意,1;软广告,1;小丑,1;
3259956:人生,111;司,96;开,96;赌博,91;游戏,86;
1864990:生活,397;母亲,295;sarah,245;brad,207;ronnie,200;
3263820:癌症,298;adam,213;朋友,170;生活,160;50,120;
6873148:jack,18;既,14;杀手,13;洗衣店,10;恐惧,9;
1306663:朋友,425;元瑞,274;东,182;元,162;瑞,156;
1302006:母亲,73;地狱,27;泪,24;mark,24;恶,24;
6722873:d,1;e,1;上映,1;剧照,1;公布,1;
1401347:萌,25;朱雀,25;eisuke,15;舅舅,11;河濑直美,11;
2567638:坂口,199;子,143;京,140;秋生,130;杀人,78;
3677992:吸血鬼,20;警察,11;烂,11;杉本彩,9;傻,8;
10428476:小屁孩,25;日记,22;格雷格,14;家庭,11;玩,10;
1304641:爱情,536;爱,528;红磨坊,299;love,199;公爵,178;
1521941:灵魂,6;真情,5;人生,5;永恒,4;sam,4;
4176565:惠,35;里惠,31;银座,23;公关,20;笔谈,18;
3055463:容易,4;is,4;am,4;’,3;母体,3;
1998637:剧,6;偶,5;－,4;＝,4;表情,4;
3137511:c,1;冗长,1;故事性,1;36,1;fa,1;
10514811:游戏,8;bill,5;求生,4;短片,3;特效,3;
1303081:捷克,40;生活,32;米罗,31;英雄,24;列车,23;
4911831:支教,15;青年,9;教育,7;知识,7;生活,6;
6845675:中国,9;战争,8;题材,5;文化,4;日本,4;
2245683:sj,34;花美男,22;|,21;高中,21;无聊,20;
3609608:苦难,16;俄罗斯,13;杜氏,10;精神,10;思想,9;
1925946:魔鬼,19;面具,12;老太太,8;恶魔,6;人类,5;
3001812:感动,6;穷,4;缉毒警,3;一身,2;干,2;
1294331:技术,4;it,4;mad,3;乐队,3;up,3;
1301028:笨,20;爸爸,12;金,8;大坏蛋,8;妈妈,7;
10813688:爱,165;爱情,109;婚姻,96;石琳,87;吉吉,82;
2375787:智慧,37;下流,33;麦当娜,11;理想,10;生活,10;
1481109:lt,37;gt,36;),31;(,30;博罗夫,25;
1297771:玛丽,24;男人,12;爱,12;爱情,11;小说,11;
2279821:特务,20;爱情,20;j,15;音乐,11;jolin,10;
2981801:t,11;同学,11;悬念,8;凶手,7;渣,6;
3233609:指环王,14;中土,11;咕噜,10;文本,8;•,8;
5446221:爱,2;第二个,1;三个,1;第三个,1;曾经,1;
2136652:医生,26;医院,21;尸体解剖,7;药,7;年轻人,7;
1297747:星,125;爷,98;周星驰,66;少林足球,58;功夫,47;
3146077:葬礼,19;家庭,17;矛盾,13;母亲,13;兄弟,10;
3024983:罗杰,40;地铁,31;世界,29;偷窥,27;监视,21;
1758645:等待,28;戈多,27;e,17;v,13;一天,13;
1482525:精彩,1;偏偏,1;霑,1;恋,1;出品,1;
1305527:keanu,9;reeves,4;坚持,4;＊,4;教练,4;
1308993:未来,127;杰克,99;改变,83;时空,48;穿越,46;
1297146:janis,24;u,16;爱,11;love,9;joplin,8;
10461368:幸福,33;妻,30;犀利,29;爱,29;电视剧,29;
5908478:爱,581;爱情,555;老人,385;爷爷,279;哭,219;
6101776:银,11;妈,8;现场,7;嘛,5;唱,4;
1292050:弗兰克,45;洛基,41;恐怖,39;frank,37;爱,35;
3815920:王珞丹,200;宅,167;爱情,160;陆飞,142;冉静,135;
1779314:俄罗斯,9;国家,7;真理,7;陛下,6;伟大,5;
1915331:怪谈,34;中田,21;吉,19;日本,19;黑木瞳,18;
2117742:_,53;生活,48;jordan,32;shay,24;规划,19;
1298347:静态,2;声音,2;画外音,2;画面,2;不适,1;
4822848:武林,1770;外传,1387;电视剧,1069;失望,631;笑,624;
5915755:完整,4;世界,4;美丽,3;灵魂,3;因此,2;
2080294:父亲,18;成长,13;生活,8;omer,6;心理,5;
10441161:生活,23;弗里曼,19;摩根,13;～,13;爱,13;
1304974:芝,4;流氓,3;2,3;解决,3;死党,2;
3101989:公主,65;carter,10;女孩,10;rosie,10;美国,8;
1472234:雷锋,44;代表,9;日记,8;一天,6;留名,6;
1306519:马修,53;爱情,20;皮埃尔,17;塞德里克,16;爱,13;
6771529:动作,145;打斗,68;动作片,63;突袭,49;印尼,47;
10532705:女友,9;男人,8;现,5;美好,3;旧,3;
4930402:狗蛋,11;小翠,5;丑妹,5;愈,4;班长,3;
1462685:c,4;爱情,4;低徊,2;山崎千桐,2;配乐,2;
1296172:爱,155;忠贞,89;克莱丽,88;é,84;爱情,72;
5155325:恶,32;鬼,31;胎,29;恐怖,19;罗守耀,19;
2255890:超人,129;【,25;】,25;克隆,17;人类,14;
5158655:狙击,8;叛军,7;啊啊啊,6;狙击手,6;无语,5;
7065117:银团,49;美国,39;世界,30;泰坦尼克号,30;欧洲,28;
5997861:gg,9;55年,5;录音,5;版本,4;录制,4;
10558419:子,94;玲,91;菊,66;牧田,63;田,60;
2348020:公司,83;fbi,81;谎言,68;马克,61;mark,55;
3103418:胡安,244;监狱,172;刀疤,123;狱警,106;妻子,76;
1296455:威尔,13;狗,10;will,4;希望,3;朋友,3;
1770401:misa,10;妹妹,9;sion,7;哥哥,5;难忘,4;
1480808:男人,90;女妖,66;女人,49;婚姻,35;鹰,22;
1302732:爱情,86;障碍,63;主人公,62;刘香妹,35;毕宝亮,32;
6097381:卡拉扬,3;克莱伯,3;音乐,3;留下,2;哲学,2;
3540102:in,25;tags,23;which,23;爱,19;鼠,19;
1929546:beatiful,1;78,1;u,1;lost,1;get,1;
3006327:生活,64;do,60;家庭,49;父母,42;this,36;
1298648:初三,8;人海,4;孤鸿,4;少年,4;莫少聪,3;
2042273:sg,7;将军,4;语言,4;*,3;stargate,3;
6110549:爱丽丝,25;q,24;,24;镜,19;京都,17;
3239688:大厦,8;消防员,6;世贸,6;停止,3;撞,3;
1304785:elling,21;生活,12;艾林,11;昂,7;疗养院,6;
1294940:津,81;榎,74;今村,51;昌平,47;复仇,43;
3006302:千秋,275;野,152;田妹,140;野田,100;*,96;
5279575:幸福,38;说明书,15;挺,14;循环,13;玉木宏,12;
1963187:夏天,4;明恩,3;本身,3;自然,3;几乎,3;
5936247:囧,37;探,27;惊悚,21;佳人,20;喜剧,20;
2074157:娜塔丽,46;母亲,21;j,14;r,14;伍德,11;
1439834:甘蔗,4;深呼吸,3;尽量,2;酷,2;一篇,2;
3915458:路飞,79;美,66;娜,66;剧场版,60;史基,40;
3389591:穆斯林,100;*,82;恐怖分子,59;英国,58;狮子,53;
2077781:#,14;游戏,13;美国,6;postal,5;翻译,5;
2028647:希特勒,796;历史,427;德国,397;刺杀,339;行动,258;
1308824:007,34;布鲁斯南,26;钻石,25;fbi,22;日落,15;
4942761:宾馆,4;囚禁,4;那年,4;反映,4;世界,3;
1950118:爱情,6;期待,4;时光,3;介绍,3;上传,3;
6006607:守,11;复仇,8;弟弟,5;部,5;原著,5;
10599639:猪猪,50;侠,49;爸爸,21;国产,16;搞笑,14;
1421278:面子,404;vivian,257;母亲,257;中国,250;女儿,248;
1857082:教练,28;马歇尔,26;is,21;球队,21;大学,18;
1483577:功夫,14;京,9;路线,8;吴京,8;小子,7;
1298328:外星人,64;,28;信仰,22;相信,16;奇迹,16;
20393972:工作,43;教育,41;大学,36;贫穷,24;毕业,21;
2979199:franck,17;黑色,12;tikides,11;dewaere,9;mona,8;
6557019:小强,48;活着,22;喜剧,15;成本,11;生活,11;
2133340:维多利亚,351;女王,276;爱情,142;阿尔伯特,132;英国,105;
1794547:叉烧,51;蔻,49;妞,49;妈妈,25;小狗,22;
1419673:主题,8;现场,6;page,6;john,5;飞,5;
2000675:农人,65;土地,37;昆,32;滨,32;伯,28;
2042226:北野武,185;万岁,47;日本,34;自嘲,22;木偶,22;
2138404:画面,18;渔光曲,18;中国,15;蔡楚生,10;徐妈,7;
1756637:请问,1;裤子,1;77两次,1;颜色,1;传,1;
4829033:男人,73;生活,71;援交,51;少女,49;她们,40;
1291576:蒸汽,121;洋,78;人类,65;科学,65;科技,56;
1297768:苏珊,36;丈夫,16;爱,15;成功,11;事业,11;
6839140:鬼,41;宋定伯,15;山羊,14;定,11;阿,9;
4323701:家族,8;」,6;「,6;日本,6;祖父,3;
1727557:父亲,553;父子,354;郭富城,235;生活,210;爱,179;
1480544:中国,13;瘦,6;戏剧,6;描写,6;书生,6;
2084402:爱,15;女人,10;爱情,10;男人,10;esperanza,8;
4268598:老师,3783;母亲,3600;告白,2962;生命,2817;少年,2419;
5500707:也好,5;同,5;恐,4;男孩,3;曾,3;
1858531:经度,7;纬度,6;碎,6;太阳,5;测量,4;
1439730:犹太人,23;西班牙,16;意大利,10;佩拉斯,10;纳粹,10;
1306303:战争,278;,113;士兵,77;尼诺,69;媒体,68;
1762834:月,345;香,331;吉,142;淳,116;宇宙,86;
1862215:短片,2;技巧,2;cg,2;作画,2;色彩,2;
3145126:小城,1;意蕴,1;56,1;`,1;无奈,1;
3136387:血,3;长宁,3;片名,2;石道长,2;今天,2;
1929471:巴黎,6;性,4;1968年,3;理想主义,3;政治,2;
1308308:成龙,1;1609,1;李连杰,1;竟然,1;发行,1;
3221019:saint,14;laurent,13;yves,13;karl,8;dior,8;
1297763:方世玉,34;文化,30;中国,19;苗翠花,15;经济,14;
1424218:战争,177;锅盖头,56;士兵,55;美国,52;沙漠,49;
4728518:铁,320;中国,200;人山人海,189;黑,165;生活,146;
1296260:莫尔,100;戒指,54;国王,49;结婚,41;教会,36;
3271093:登山,99;登山者,47;征服,40;生命,35;德国,32;
3196998:声音,11;美,7;优,7;家,5;幸福,5;
1298717:加上,2;一场,2;那段,2;之一,1;影视帝国,1;
5919334:痛,64;爱情,51;症,46;爱,36;哭,29;
1308599:保罗,777;21克,624;杰克,620;克丽斯,425;汀娜,422;
3564327:爱,166;艾玛,148;玛丽,127;emma,63;爱情,45;
1875317:游戏,28;杀人,25;恐怖片,14;鬼,13;静雯,9;
1874935:女主角,15;尿,14;橱窗,11;男主角,10;短片,9;
1296684:pooh,19;童年,16;维尼,16;do,14;u,13;
1292893:爱尔兰,11;爱情,11;本身,7;nan,6;爱,6;
1460341:龙龙,81;狗,62;哭,49;动画片,42;感动,40;
1308429:美国,29;派,24;搞笑,10;美国式,10;－,9;
1302922:giannini,7;快乐,5;维斯康蒂,5;维斯康,5;贵族,5;
1292067:岳父,101;科恩兄弟,100;绑架,87;血,85;绑匪,78;
3158429:蛋糕,162;赫,58;镇,57;版,52;朱智勋,50;
1300282:世界,743;真实,231;虚拟,204;虚拟世界,162;游戏,139;
1849933:【,34;d,16;(,13;),13;t,13;
4291272:复仇,172;警察,155;陈杰,104;复仇者,103;魔鬼,74;
1293347:克,32;劳特累,30;画,23;画家,12;使,12;
2077172:十字军,37;dolf,24;儿童,23;上帝,14;耶路撒冷,13;
1293241:小丑,74;费里尼,54;马戏团,11;笑,9;表演,6;
3283221:盒子,6;卖火柴,3;老人,3;6,2;节日,2;
1458908:永远,8;梦,5;实现,4;太阳,3;时空,3;
1421968:é,31;de,12;la,8;è,7;bonheur,7;
5299006:棒球,30;聋人,15;教练,13;学生,13;听不见,11;
1308811:女人,13;男人,11;爱,11;女性,7;男性,7;
1866424:水怪,252;安格斯,99;怪,91;小男孩,90;水,73;
1940508:藏书,9;图书馆,6;学校,5;歷,5;史,4;
1468746:harry,9;爸爸,5;芦苇,2;小孩,2;父母,2;
1303283:外星人,11;地球,9;永生,7;永远,5;逝去,5;
2980431:e,77;日本,67;警察,65;9%85%,52;9%,52;
3324578:夏天,60;肖恩,52;青春,34;兹,32;达,32;
1306326:笼,72;民,38;张之亮,25;香港,24;黄家驹,20;
6129642:芭比,6;爱,2;片儿,1;stupid,1;标志,1;
1300884:menzel,7;is,6;jiri,4;上面,3;船,3;
1309193:…,4;第一部,4;哈哈,2;风头,2;荒诞,2;
1777888:rolling,9;stones,9;(,6;lennon,5;),5;
4817901:灵魂,264;男主角,136;鬼,134;josh,131;老太婆,124;
1855638:探讨,4;人民,4;美国,4;世界观,4;美式,3;
3667102:梦想,198;种田,133;芽,130;生活,107;音乐,90;
20453254:结尾,3;生活,2;值得,2;设计,2;个人观点,2;
1302637:桂,11;美,7;桂美,6;传统,6;一生,6;
1963066:诗人,57;丹麦,55;kasper,49;was,37;挪威,35;
1293401:劳拉,5;塑造,5;缺乏,4;叙事,4;视觉,3;
1844728:做爱,9;妻子,9;女人,8;男人,8;丈夫,7;
3718447:三枪,2080;张艺谋,1905;沈阳,1126;笑,881;中国,783;
6532822:游戏,448;生化危机,413;爱丽丝,332;僵尸,309;丧尸,285;
1416942:纳粹,120;学校,106;friedrich,99;albrecht,99;德国,93;
1299404:斯,31;苏菲卢,21;安哲,18;政治,16;希腊,13;
1951120:女儿,29;美国,29;jasira,28;父亲,23;阿拉伯,16;
1293821:d,13;j,13;爱情,10;疯狂,10;毁灭,9;
1875218:一会儿,5;错过,3;乐队,3;后面,3;伟大,3;
1297313:生活,10;放弃,5;女儿,5;c,4;性格,4;
2301676:sam,15;恐怖片,11;恶魔,8;主人公,7;神父,6;
1293073:苍蝇,100;蝇,53;变,36;seth,35;赛斯,34;
1303964:漫画,19;戒指,7;脸,6;香港,6;住,6;
6053679:僵尸,90;诺曼,88;动画,59;女巫,59;小镇,45;
3129588:robert,6;真相,5;小镇,5;黑色,4;黑暗,4;
3443397:－,20;父亲,19;自杀,9;la,6;de,5;
3005365:音乐,145;蓝调,79;黑人,67;唱片,64;chess,53;
7064681:狼,954;雨,511;花,446;雪,415;母亲,361;
3069345:世界,18;骗子,16;网络,12;邮局,11;邮票,10;
1297813:德国,6;作家,6;如同,4;孤独,4;文德斯,3;
1796995:哥哥,169;弟弟,111;稔,61;猛,56;摇摆,42;
1900488:耶,24;～,24;鸟,19;嘻嘻,18;呵呵,18;
5364943:包子,4;单挑,3;尤其,2;双截棍,2;表情,2;
4164444:生命,432;aron,417;小时,398;127,339;石头,329;
1299737:乳房,119;女人,72;阿泰,71;月亮,69;男人,50;
1308329:妹妹,13;美惠,11;爱,9;美玉,8;姐姐,8;
1887000:普,41;滔,41;纪昌,36;射,33;不射之射,24;
2155825:7,3;图例,2;实物,1;化,1;配乐,1;
3430694:little,8;girl,8;学会,6;爱情,6;boy,5;
1308675:喜剧,14;模特,11;斯蒂勒,6;本,6;ben,6;
2281021:克里,5;传说,3;短片,3;kele,3;奇人,2;
3718623:德国,23;双雄,17;悍将,15;好莱坞,15;科顿,14;
1293455:亚历山大,339;一天,298;诗人,265;生命,240;明天,178;
2297254:著,8;同志,7;影像,6;诗,5;鲸,4;
2020530:～,66;爱,52;camille,35;瀑布,23;爱情,19;
1309002:星星,69;动画,24;中国,23;劳拉,23;小星星,12;
3824339:外星人,230;地球,184;关键,175;第四号,131;男主角,128;
1760635:妈妈,8;母亲,6;小女孩,4;日本,3;路边,2;
6900094:女人,95;爱,78;华妍,73;华研,65;男人,65;
1300926:格林奇,24;圣诞节,17;圣诞,14;节日,12;社会,12;
1300265:琴,41;江湖,26;魔,22;弟弟,19;六,18;
6018999:鬼,4;…,2;红衣,2;爱情,2;牵强,1;
2283642:中国,58;水,46;生活,43;纪录片,37;余,32;
2210194:蛾,97;阿,90;六,74;嫂,74;肉,48;
2170545:jakub,42;哥哥,39;elias,35;弟弟,35;roman,30;
3854281:竟然,42;*,21;snl,20;百战天虫,9;k,7;
2257732:博物馆,458;美国,258;历史,249;笑,189;2,177;
1297187:美国,392;中国,390;大同,270;文化,228;刮痧,208;
1306470:韩国,101;特工,47;朝鲜,38;爱情,37;鱼,34;
1780216:杰雷,10;罗莎,9;米亚,7;世界,6;视觉,6;
5244213:啥,5;翻唱,3;黑人,3;些,3;换,3;
1305686:杀,18;法律,17;正义,12;惩罚者,12;弗兰克,10;
1295185:龟,12;先生,11;比赛,4;哦,3;参加,3;
1295323:彼得,3;控制,3;适合,3;可怜,2;陷落,2;
2567521:beth,57;男主角,23;cooper,19;denis,18;is,17;
1294929:蝙蝠侠,106;猫,43;黑暗,27;batman,26;企鹅,23;
1924440:f,1;db,1;e,1;46,1;8,1;
3055049:动物,32;动物园,10;笑,10;可爱,9;说话,7;
3676431:世界,6;地球,6;物种,6;俄罗斯,4;猪脚,3;
19976063:火,50;兰火兰,48;古惑仔,21;坤,19;香港,18;
2035008:床,4;痛苦,2;父亲,2;流浪,2;那段,2;
2056105:学生,16;老师,15;权力,14;教师,10;暴力,9;
1299800:儿,3;神,3;蜜,3;想象,2;小时候,2;
1301849:思想,99;社会,63;老大哥,61;温斯顿,60;党,58;
1831558:jud,7;http,6;_,6;files,6;harlan,6;
1308011:英俊,2;不够,2;一点点,2;签名,2;哈哈,1;
6970575:供货商,7;男主角,6;悲剧,5;阿杰,4;爹,4;
3862627:赌,133;扑克,120;古天乐,100;刘青云,93;澳门,83;
3302627:复仇,418;杜琪峰,310;杀手,265;枪,185;枪战,146;
6536266:兄弟,9;乌克兰,6;纪录片,4;拳击,4;低谷,3;
5170190:同志电影,5;同志,4;熊,4;爱,4;控,3;
1771629:韩国,18;女人,9;喜剧,6;男人,6;男主角,5;
3025450:爱,39;大叔,39;爱情,27;颖,19;纯情,19;
2310059:凶手,8;推理,6;改编,5;书,4;侦探,4;
5240683:),26;(,16;happiness,13;in,13;positive,10;
1307043:梁朝伟,10;郑伊健,8;高桥,8;东京,8;日本,8;
5394977:动作,28;动作片,15;功夫片,13;设计,11;泰国,10;
2131481:刻画,4;真实,4;女主角,3;缺乏,3;老友,3;
6844867:中国,22;泉,12;(,11;),11;李俊益,11;
2078262:梦露,6;爱,5;美丽,4;死亡,4;的确,3;
3092178:杨志,8;对不起,3;牛二,3;有罪,2;烂,2;
1300331:(,13;),13;同性恋,8;异,7;喜剧,7;
1494703:全片,2;居然,1;威武,1;混乱,1;哦,1;
5190180:怪兽,3;杀死,3;冲,2;生,2;值得,2;
1300246:yoyo,45;张,26;爱,25;十三,22;十八岁,19;
3008143:河狸,14;白毛,9;动物,6;妈妈,5;猞猁,4;
1302673:小美,32;钟丽缇,24;人鱼,18;美人鱼,17;天使,17;
6758119:哈利,331;•,204;波特,196;哈利波,96;特,96;
6021916:僵尸,654;r,313;人类,254;丧尸,252;爱,238;
3121493:sm,4;令人,4;男人,3;团,2;系列,2;
1466270:父母,20;王君生,12;爱,12;幸福,11;钱,9;
3637754:…,21;克拉克,12;舒曼,9;勃拉姆斯,7;演奏,6;
1759338:形式,11;生活,10;人偶,8;体制,8;嬉皮士,6;
1309161:舞蹈,53;音乐,42;’,40;古巴,33;舞,29;
1424334:越狱,177;盖斯帕,89;德,85;洞,83;克劳德,54;
1308583:老头,249;老人,178;生活,99;纪录片,68;拍摄,42;
1903267:配乐,7;水面,2;主要,2;动画片,2;7,2;
1983590:完美,11;生物,7;吸血鬼,6;不够,3;泥泞,3;
1329562:海,210;拓,209;周杰伦,191;d,132;头文字,109;
1417536:床上,10;长,9;画面,8;祖母,8;父母,7;
1469357:查理,21;香槟,18;美国,9;代理人,6;战争,6;
1849371:太阳,376;人类,140;飞船,120;地球,113;太空,94;
1295427:教授,29;劳拉,13;斯登堡,11;蓝天使,9;生活,9;
1309127:paul,53;父亲,45;celia,34;洞穴,19;母亲,17;
4928750:对手,7;郎,5;流川枫,3;比赛,3;疼痛,3;
3169279:乔凡娜,11;女儿,6;爸爸,5;妈妈,5;母亲,4;
5156706:黑衣,309;女人,300;恐怖,148;丹尼尔,140;哈利波,112;
2971681:社会,41;苏联,22;女孩,22;警察,21;队长,17;
4215790:爱,210;疯狂,107;愚蠢,98;卡瑞尔,81;爱情,76;
3206681:篮球,64;比赛,60;勒布朗,52;詹姆斯,45;教练,32;
1299107:律师,38;德尼罗,33;正义,13;恐怖,12;女儿,11;
3864351:失恋,36;	,30;———,30;麦克,28;michael,28;
1304665:催眠,49;间,21;宫,18;x,17;者,16;
1459515:文四郎,82;阿福,58;少年,37;父亲,37;蝉,24;
4732901:食堂,3;哪里,3;街道,3;眼镜,3;海鸥,3;
4802714:迪拜,7;http,5;了解,5;推荐,4;主要,4;
5355365:中国,223;龙,192;神龙,94;龙珠,81;特效,67;
1293941:成龙,50;奇迹,31;玫瑰,25;香港,20;女儿,20;
5355067:老人,77;遗忘,64;记忆,60;智,52;失,50;
4275444:梦,244;一天,112;爱,97;幸福,73;女孩,71;
1440480:laws,2;理论,2;2,2;10,2;能量,1;
6091398:大叔,103;克,45;幸,34;彦,33;啄木鸟,26;
4919130:一休,39;足,15;利义满,15;方案,11;门,8;
1915403:文本文档,43248;新建,43248;静流,2936;爱,2888;诚,2532;
3012012:科洛,61;獴,50;家族,46;哥哥,43;狐,41;
4707230:王力宏,1104;音乐,705;宏,566;力,551;通告,511;
2333614:」,4;「,4;小子,2;压抑,2;情色,2;
2369671:brian,15;paulie,9;儿,8;出狱,8;不再,6;
3399850:父亲,203;爱,44;max,25;暴力,24;澳大利亚,22;
1298566:beatles,71;ringo,42;乐队,26;幼儿园,19;音乐,18;
1389937:朱诺,95;珍妮,92;爱,30;父母,28;爱情,26;
1767355:恐怖片,2;第一部,2;阴影,2;吓人,1;恐怖,1;
3813752:(,29;),29;0,29;with,8;俱乐部,6;
1298716:00,1156;gt,751;01,460;…,94;11,78;
1856436:气球,296;红,244;生活,137;侯孝贤,125;宋芳,68;
1302678:周星星,14;嘅,11;百万,8;星星,8;老公,8;
